"Label","Spot.ID","Track.ID","Quality","X","Y","Z","T","Frame","Radius","Visibility","Manual.spot.color","Mean.intensity.ch1","Median.intensity.ch1","Min.intensity.ch1","Max.intensity.ch1","Sum.intensity.ch1","Std.intensity.ch1","Mean.intensity.ch2","Median.intensity.ch2","Min.intensity.ch2","Max.intensity.ch2","Sum.intensity.ch2","Std.intensity.ch2","Mean.intensity.ch3","Median.intensity.ch3","Min.intensity.ch3","Max.intensity.ch3","Sum.intensity.ch3","Std.intensity.ch3","Mean.intensity.ch4","Median.intensity.ch4","Min.intensity.ch4","Max.intensity.ch4","Sum.intensity.ch4","Std.intensity.ch4","Mean.intensity.ch5","Median.intensity.ch5","Min.intensity.ch5","Max.intensity.ch5","Sum.intensity.ch5","Std.intensity.ch5","Mean.intensity.ch6","Median.intensity.ch6","Min.intensity.ch6","Max.intensity.ch6","Sum.intensity.ch6","Std.intensity.ch6","Contrast.ch1","Signal.Noise.ratio.ch1","Contrast.ch2","Signal.Noise.ratio.ch2","Contrast.ch3","Signal.Noise.ratio.ch3","Contrast.ch4","Signal.Noise.ratio.ch4","Contrast.ch5","Signal.Noise.ratio.ch5","Contrast.ch6","Signal.Noise.ratio.ch6","Ellipse.center.x0","Ellipse.center.y0","Ellipse.long.axis","Ellipse.short.axis","Ellipse.angle","Ellipse.aspect.ratio","Area","Perimeter","Circularity","Solidity","Shape.index"
"Track_40.6",2683,40,0.891150832176208,155.178887155486,273.45605824233,0,5,5,10.1004117996201,1,NA,40959.2915360502,40870,32617,50646,13066014,2666.58810569448,7099.50156739812,7108,5733,8165,2264741,557.428264130573,1400.52664576802,1225,1076,6482,446768,708.171841428458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383634467006292,0.117403541400205,0.0933039993504719,2.1738430857799,-0.432016128855038,-3.00847685745901,NA,NA,NA,NA,NA,NA,0.0107293516290998,0.00368200901232974,11.0734201087527,9.2863622659159,2.98009499770906,1.19243895420663,320.5,66.4405145991085,0.912371945801262,0.972685887708649,3.71123940350427
"Track_40.7",2791,40,0.863823890686035,155.043885601578,272.611439842209,0,6,6,10.3724992904373,1,NA,40842.2743362832,40770,26443,50926,13845531,2914.96919076288,7066.0796460177,7075,5649,8366,2395401,566.618488393402,1509.01474926254,1241,1085,8939,511556,1025.17704478524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00019880381553003,-0.00557207570298986,0.0910965880853086,2.08236423654918,-0.41507042354628,-2.08902103820925,NA,NA,NA,NA,NA,NA,0.0345166952070524,-0.0041997479220982,11.1778248321616,9.69825496749385,-0.056970059769761,1.15256042139817,338,67.7902330592356,0.924256067560277,0.981132075471698,3.68730257649246
"Track_40.8",2865,40,0.895565032958984,153.976975405547,274.097854526426,0,7,7,10.0688479355653,1,NA,40987.984375,40869,32322,51316,13116155,2817.5397719511,7086.7375,7118,5558,8259,2267756,562.400090604746,1437.625,1230,1072,6938,460040,799.21056072613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377248845388906,0.109347569272859,0.0909391219724519,2.10078303007902,-0.408544069431075,-2.4850258901835,NA,NA,NA,NA,NA,NA,0.0363777696164914,-0.0145707245022719,11.1938752294755,9.13665905756767,2.95896433922827,1.22516065872064,318.5,65.5607377913553,0.931175704376795,0.984544049459042,3.67357671784243
"Track_40.9",2969,40,0.888605117797852,154.602996254682,275.120920278224,0,8,8,9.9575865322,1,NA,40876.8295819936,40650,32437,53253,12712694,2749.56315003408,7052.03215434084,7115,5462,8143,2193182,581.069968799096,1353.81672025723,1213,1040,6218,421037,598.416470989719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399830557362437,0.118409488174917,0.0930187967287902,2.06566045568519,-0.415474060732041,-3.2160771377685,NA,NA,NA,NA,NA,NA,-0.00482497855553683,0.0144253804312401,10.8632178180529,9.19480086851173,3.01802876245935,1.18145221124416,311.5,65.5093881083483,0.912138588533883,0.984202211690363,3.71171410620437
"Track_40.10",3061,40,0.89378559589386,154.081504702194,274.110240334378,0,9,9,10.0767481705473,1,NA,40831.4308176101,40574,31551,52174,12984395,2997.17962481407,7070.22955974843,7064,5880,8185,2248333,537.278679376671,1417.61006289308,1218,1039,7034,450800,812.619287332313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181932215942962,0.0494802663158413,0.0900652332671615,2.17454597139061,-0.418401653083776,-2.5099778292034,NA,NA,NA,NA,NA,NA,0.0185623555399474,-0.0136272738198678,11.1550122740661,9.20785274727463,-0.101981438008775,1.21146727475283,319,65.9590834290235,0.921406609010571,0.980030721966206,3.69299968414226
"Track_40.11",3164,40,0.880890727043152,154.852941176471,274.973684210526,0,10,10,10.1397284597451,1,NA,40622.3343653251,40459,32948,51970,13121014,2663.5589929586,7011.173374613,7055,5697,8170,2264609,601.399693187406,1297.71207430341,1202,1065,5355,419161,421.913064780697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265617124369975,0.0808046942997719,0.0941194574066437,2.00572862890945,-0.394198243657001,-4.002851919349,NA,NA,NA,NA,NA,NA,0.0218221812670531,0.0136013966776867,11.1810491168155,9.26548500437464,2.96774275217649,1.20674191491718,323,66.6716657685167,0.913124035262456,0.983257229832572,3.70971071796535
"Track_40.12",3260,40,0.882292687892914,154.762702400893,274.814070351759,0,11,11,9.7475894982227,1,NA,40620.2675585284,40484,32350,50738,12145460,2663.90057695044,7106.45819397993,7093,5845,8234,2124831,526.914133534939,1357.86956521739,1219,1014,6082,406003,602.424803609132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410635915550463,0.124718815463298,0.0982386115363923,2.41284186984051,-0.3841414119666,-2.81187060452178,NA,NA,NA,NA,NA,NA,0.0287716439047757,-0.00451046207611335,11.0420084808471,8.69835347753268,-0.128689332262454,1.26943662491619,298.5,64.7968057688551,0.893402173609619,0.969155844155844,3.75043315771769
"Track_40.13",3352,40,0.885088801383972,154.992764857881,275.100258397933,0,12,12,10.1318773331635,1,NA,40808.1919504644,40613,31339,51696,13181046,2733.53388895159,6997.75232198142,7028,5672,8371,2260274,599.822142856832,1300.83281733746,1213,1061,5178,420169,418.752810214493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377250195584358,0.112214005801605,0.0894152412731888,1.91506789017152,-0.415713872856602,-4.42041138344682,NA,NA,NA,NA,NA,NA,0.0126469535502266,-0.0160605740993361,11.3121212083495,9.15569526391036,3.02210892634892,1.23552836592752,322.5,66.3891649161015,0.919486106236648,0.986238532110092,3.69685440066452
"Track_40.14",3442,40,0.884042501449585,154.888175494917,274.743713215623,0,13,13,9.9575865322,1,NA,40909.853968254,40764,29426,52968,12886604,2965.64922446264,7070.2253968254,7092,5939,8251,2227121,535.557121067581,1534.33650793651,1226,1078,9414,483316,1162.82816384498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111166610138907,0.303327118393613,0.0972497013419885,2.34013149421988,-0.37034271043034,-1.55215338967294,NA,NA,NA,NA,NA,NA,-0.00580835757204082,-0.00814896438355764,11.1132849205104,8.99374144572115,-0.0239492458343912,1.23566871335818,311.5,66.0328737463549,0.897733679857998,0.978021978021978,3.74137442029203
"Track_40.15",3531,40,0.899226784706116,154.886280646844,274.075117370892,0,14,14,10.084642216545,1,NA,40722.0403726708,40485,33123,55219,13112497,2962.59827050237,7047.80434782609,7076,5753,8289,2269393,559.659561277501,1409.33229813665,1224,1056,6673,453805,746.822572405598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616449457115801,0.168428370648868,0.0919601375376145,2.12105892992057,-0.39259023198835,-2.43940372562151,NA,NA,NA,NA,NA,NA,0.0256871249467155,-0.016752001084178,11.1506440653556,9.19378324957965,-0.129172396816848,1.21284608986898,319.5,66.3760194968625,0.911293593652614,0.977064220183486,3.71343454664697
