"Label","Spot.ID","Track.ID","Quality","X","Y","Z","T","Frame","Radius","Visibility","Manual.spot.color","Mean.intensity.ch1","Median.intensity.ch1","Min.intensity.ch1","Max.intensity.ch1","Sum.intensity.ch1","Std.intensity.ch1","Mean.intensity.ch2","Median.intensity.ch2","Min.intensity.ch2","Max.intensity.ch2","Sum.intensity.ch2","Std.intensity.ch2","Mean.intensity.ch3","Median.intensity.ch3","Min.intensity.ch3","Max.intensity.ch3","Sum.intensity.ch3","Std.intensity.ch3","Mean.intensity.ch4","Median.intensity.ch4","Min.intensity.ch4","Max.intensity.ch4","Sum.intensity.ch4","Std.intensity.ch4","Mean.intensity.ch5","Median.intensity.ch5","Min.intensity.ch5","Max.intensity.ch5","Sum.intensity.ch5","Std.intensity.ch5","Mean.intensity.ch6","Median.intensity.ch6","Min.intensity.ch6","Max.intensity.ch6","Sum.intensity.ch6","Std.intensity.ch6","Contrast.ch1","Signal.Noise.ratio.ch1","Contrast.ch2","Signal.Noise.ratio.ch2","Contrast.ch3","Signal.Noise.ratio.ch3","Contrast.ch4","Signal.Noise.ratio.ch4","Contrast.ch5","Signal.Noise.ratio.ch5","Contrast.ch6","Signal.Noise.ratio.ch6","Ellipse.center.x0","Ellipse.center.y0","Ellipse.long.axis","Ellipse.short.axis","Ellipse.angle","Ellipse.aspect.ratio","Area","Perimeter","Circularity","Solidity","Shape.index"
"Track_32.40",5905,32,0.875081300735474,159.814471879287,406.923525377229,0,39,39,12.4377893809681,1,NA,39877.9344262295,39998,25219,52538,19460432,3585.14589266136,17350.3442622951,18128,9112,23919,8466968,3504.22809743575,1858.10040983607,1521,1061,6031,906753,877.267696928226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286245612945487,0.619067160022856,0.473537769114911,3.18228503392292,-0.377227983381863,-2.56591253802964,NA,NA,NA,NA,NA,NA,-0.0363921672273426,-0.0142829198486484,14.7507155624079,10.5797240825803,0.781372212021436,1.39424388077334,486,81.9013622580824,0.910466314733749,0.980827447023209,3.71512123650263
"Track_32.41",5996,32,0.88083016872406,160.072233267064,406.924453280318,0,40,40,12.6534529971248,1,NA,40011.1775147929,40253,24946,49536,20285667,3560.21866196382,17161.4792899408,17972,9283,23993,8700870,3727.72383594867,1708.8224852071,1420,1088,8078,866373,807.147478116716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030298753285478,0.660992056702168,0.477235517257535,2.97456869035286,-0.442928528408875,-3.36664083446036,NA,NA,NA,NA,NA,NA,-0.0512552223761422,-0.0125446495104867,14.7572075580267,10.9289595512474,0.715045062334345,1.35028476304885,503,82.8324887488426,0.921247725709714,0.986274509803922,3.69331812763304
"Track_32.42",6088,32,0.879151225090027,159.108600125549,407.204331450094,0,41,41,13.0008672619788,1,NA,39682.9775280899,40222,23507,49686,21190710,3933.18873011913,16718.7509363296,17583,8410,23557,8927813,3944.2454683959,1748.94943820225,1491,1057,4767,933939,680.355275851279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208981632211467,0.413061915839278,0.473439909503444,2.72397002549641,-0.428999644387286,-3.86270948948732,NA,NA,NA,NA,NA,NA,-0.00821637607410671,0.0157978717439812,14.9204821515849,11.4194178261966,0.766109341793989,1.3065886876787,531,84.4702662912431,0.93518311846145,0.987906976744186,3.66569732623904
"Track_32.43",6173,32,0.896244168281555,158.990224828935,407.084718149234,0,42,42,12.759917977127,1,NA,39911.1536964981,40345,23788,48219,20514333,3712.90712297207,17013.1556420233,17893,9343,24275,8744762,3755.83839765446,1972.86381322957,1604,1087,6463,1014052,967.835410091585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290810351150712,0.607533846563281,0.47837588644543,2.93151676972642,-0.375324929480092,-2.44950783102343,NA,NA,NA,NA,NA,NA,0.00580543889566499,0.00337131678267369,14.6885874332824,11.1761522523905,0.778664750905815,1.31427946770684,511.5,82.7755395421969,0.938105023567804,0.988405797101449,3.6599841210553
"Track_32.44",6279,32,0.877130508422852,159.077842377261,408.182816537468,0,43,43,12.8159237384917,1,NA,39579.5581395349,40150,25516,49267,20423052,3786.7318002085,17020.8972868217,17906,9164,23907,8782783,3775.42384827051,1935.97868217054,1584,1061,7243,998965,998.259843953227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215834868883781,0.441655999098057,0.479319958638205,2.92152850678887,-0.396434184652095,-2.54761283043502,NA,NA,NA,NA,NA,NA,-0.00752926004423188,0.0101409219013271,14.5687532455965,11.3706283084571,0.802291591056491,1.28126193648953,516,82.6652942805826,0.948884021250911,0.990403071017274,3.63913666355067
"Track_32.45",6373,32,0.879737973213196,157.445485785692,408.074976569822,0,44,44,13.0314360021853,1,NA,39173.5262172285,40053,22489,48368,20918663,4701.39213048669,16758.6797752809,17793,7597,24281,8949135,4006.06259048423,1827.93445692884,1585,1046,6269,976117,819.316700051391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155851648131757,0.255735628478012,0.48060601761897,2.71582487556921,-0.440547382452463,-3.51372786725507,NA,NA,NA,NA,NA,NA,-0.0150207599569606,-0.00928785601607645,14.7143797899841,11.6263566440372,0.757721319370257,1.26560540335141,533.5,83.9906717826602,0.950346934133721,0.994408201304753,3.63633463932975
"Track_32.46",6472,32,0.875387012958527,158.890064102564,408.091346153846,0,45,45,12.8655019651614,1,NA,39728.9730769231,40260,23508,48764,20659066,3795.83767517876,16921.4211538462,17945,9053,24606,8799139,3871.79632270142,1923.30384615385,1700,1057,5959,1000118,828.507318998755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253715659253392,0.517959383892029,0.479270948428185,2.83196383941934,-0.439821996434888,-3.64529299116724,NA,NA,NA,NA,NA,NA,0.00478537024609699,0.0130549386072063,14.5397369463001,11.4820902758888,0.810619895081302,1.26629704147442,520,82.5460442743166,0.959004567252111,0.996168582375479,3.61988350464312
"Track_32.47",6563,32,0.883457541465759,159.073037323037,407.854890604891,0,46,46,12.840736779609,1,NA,39481.6903846154,39917,25817,48073,20530479,3692.8632575318,16862.8538461538,17761,8995,24078,8768684,3711.05708649361,2197.36346153846,1934,1081,8440,1142629,1113.15914404571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233783325198278,0.488472165495659,0.478321637888716,2.94045495236684,-0.395848993366459,-2.58677513428318,NA,NA,NA,NA,NA,NA,-0.00194037983162917,-0.0153003980422129,14.5086788360857,11.4520650792228,0.757370817237047,1.26690502854445,518,82.3180539037243,0.960615156214795,0.998073217726397,3.6168476425866
"Track_32.49",6768,32,0.857077777385712,162.327333333333,408.005333333333,0,48,48,12.6156626101008,1,NA,48302.9859437751,48456,17351,57769,24054887,4057.94692241707,16906.3052208835,17857,9562,22857,8419340,3381.21247156699,2081.87751004016,1206,931,17488,1036775,2386.0045476201,5309.78112449799,5311,4954,5688,2644271,113.965022896516,0,0,0,0,0,0,0,0,0,0,0,0,0.0481037281075377,1.09262738733264,0.47969234672107,3.24188496869888,-0.43792924932969,-1.35964919256434,0.017905503316281,1.63913266032757,NA,NA,NA,NA,-0.0076813521871065,0.0181620913613132,14.3971964792899,11.1413907158482,0.899882421736152,1.29222615438936,500,81.7929123641898,0.939179326011876,0.989119683481701,3.65789024248023
"Track_32.50",6838,32,0.897710204124451,162.621359223301,410.305501618123,0,49,49,12.8034991851701,1,NA,47649.2649903288,47902,17698,55839,24634670,4262.25751423216,16659.8471953578,17542,9524,22867,8613141,3469.01342869496,1758.03094777563,1101,922,15776,908902,1885.07213251292,5334.84332688588,5331,4941,5653,2758114,117.341830780527,0,0,0,0,0,0,0,0,0,0,0,0,0.0491257029072067,1.04695440087162,0.479379482122452,3.1123962200395,-0.491187697357604,-1.80060484930801,0.0188692060131688,1.68396862291737,NA,NA,NA,NA,-0.0164052018514244,-0.00261401238506182,14.5936904444456,11.3195057245379,0.880263163484168,1.28925156270827,515,82.7838148623229,0.944335293997438,0.991337824831568,3.64789073332127
"Track_32.51",6925,32,0.902600884437561,162.599168266155,410.412348048624,0,50,50,12.8778666983998,1,NA,47274.8831417625,47567,21354,56432,24677489,4113.95599056043,16414.5076628353,17335,8408,22317,8568373,3434.12523134316,1581.40421455939,1058,870,10996,825493,1477.0581838653,5355.77394636015,5362,5039,5705,2795714,116.873977158286,0,0,0,0,0,0,0,0,0,0,0,0,0.0451566799853601,0.992982104486391,0.472069805338786,3.06562865219226,-0.505387919936208,-2.18794007078512,0.0162445736466051,1.46502315399648,NA,NA,NA,NA,-0.0154599317494783,0.0153011050858799,14.7013751507045,11.3672070218084,0.869373988935349,1.29331463062997,521,83.2667509296959,0.944287736888219,0.992380952380952,3.64798259142078
"Track_32.52",7020,32,0.897103548049927,162.649967886962,410.399486191394,0,51,51,12.8531253370294,1,NA,47002.4,47263,22584,55548,24441248,4070.30513614751,16265.9096153846,17115,9203,22308,8458273,3314.82122807377,1509.75961538462,1026,879,9890,785075,1349.92822113604,5384.69807692308,5388,5008,5726,2800043,111.377083445883,0,0,0,0,0,0,0,0,0,0,0,0,0.047590739909861,1.04918933646937,0.467597581796954,3.12689651197143,-0.493561617351897,-2.17992669034938,0.0164397193506475,1.5638974926035,NA,NA,NA,NA,-0.0186821252484008,-0.00453255106586786,14.658791110487,11.3615548249392,0.870025591787992,1.29020995245388,519,83.2667509296959,0.940662831948148,0.990458015267175,3.65500470107898
"Track_32.53",7111,32,0.895963788032532,162.77619047619,411.581587301587,0,52,52,12.927207364566,1,NA,46379.2480916031,46933,20946,55218,24302726,4476.84101650818,16029.1335877863,16822,9281,21812,8399266,3247.42196224301,1529.05152671756,1009,838,11143,801223,1432.57314230282,5426.70801526718,5427,5097,5800,2843595,118.198008724414,0,0,0,0,0,0,0,0,0,0,0,0,0.0461189780013618,0.913441252688443,0.465217289396657,3.13440515147539,-0.446932689052364,-1.72504108022647,0.0183887728684299,1.65804165172796,NA,NA,NA,NA,-0.021920035513661,0.00997999135908545,14.8086102218155,11.3800696359408,0.909030560231642,1.30127588807072,525,84.4224091712662,0.92566466183094,0.98314606741573,3.68449600359868
"Track_32.54",7206,32,0.897153258323669,163.59188239054,411.600830936401,0,53,53,12.8840446151372,1,NA,46090.9347408829,46513,21107,54558,24013377,4374.47398811059,15786.4990403071,16614,9150,21127,8224766,3135.20579383724,1411.58157389635,981,842,9544,735434,1223.39169366208,5470.46065259117,5468,5084,5838,2850110,123.507298471496,0,0,0,0,0,0,0,0,0,0,0,0,0.0438858001104015,0.885912243575044,0.457754844927874,3.16226474498319,-0.439615146542594,-1.81032566210734,0.0160602194615488,1.40021040072727,NA,NA,NA,NA,-0.0120073729901969,0.00114797922408576,14.7407296746056,11.3599305546068,0.921530146849021,1.29760737565668,521.5,83.3405412470273,0.943520940976815,0.991444866920152,3.64946464121694
"Track_32.55",7303,32,0.889718651771545,162.69111969112,411.496138996139,0,54,54,12.840736779609,1,NA,46074.5910852713,46454,20646,54366,23774489,4191.42029238485,15632.2015503876,16447,9372,21067,8066216,3026.79866931074,1280.41666666667,962,829,6667,660695,885.057090382449,5517.91279069767,5520,5054,5854,2847243,119.787944314404,0,0,0,0,0,0,0,0,0,0,0,0,0.0459231555350517,0.965299803746316,0.453598257986482,3.22324703150062,-0.441097307550864,-2.28353795057234,0.0153741517638954,1.39494400992293,NA,NA,NA,NA,-0.00346583396746827,0.0280749919831039,14.4510746588998,11.5034417497799,0.946599346546365,1.25623921720439,518,82.8509857610562,0.948296753437782,0.993288590604027,3.64026332408589
"Track_32.56",7391,32,0.900070428848267,162.871219207983,411.685999376364,0,55,55,13.0436434390563,1,NA,45713.2373831776,46141,20613,54630,24456582,4290.49768134841,15213.5794392523,16003,8692,20552,8139265,3087.91271889306,1310.9046728972,950,828,9361,701334,1062.34368503227,5557.4953271028,5552,5256,5992,2973260,117.242024862476,0,0,0,0,0,0,0,0,0,0,0,0,0.0434929580350274,0.888165145690223,0.449812494297049,3.05714517271425,-0.392170511057911,-1.59231591051367,0.0150837254664229,1.40874551329607,NA,NA,NA,NA,-0.0225879342284803,0.0218925596747448,14.6548607080611,11.7087681186997,0.917232908802178,1.25161422273419,534.5,84.2284423706665,0.946760291669541,0.988899167437558,3.64321595005365
"Track_32.57",7503,32,0.872703015804291,162.483284647842,410.120090879585,0,56,56,12.7848397156701,1,NA,45729.7953216374,46049,22148,54814,23459385,4008.75051681591,15206.5048732943,15910,8902,20109,7800937,2880.91471010003,1238.06627680312,939,810,8284,635128,898.320666040978,5616.09941520468,5618,5179,5995,2881059,124.611222986489,0,0,0,0,0,0,0,0,0,0,0,0,0.0457822328946792,0.998794024437608,0.444535704158862,3.24868323828814,-0.388726924624113,-1.75287866288915,0.0135745319513314,1.20719325116341,NA,NA,NA,NA,-0.00862692373985128,0.0119559678604994,14.4818925939067,11.3814169281058,0.878602353560728,1.27241561269445,513.5,82.178112582619,0.955516051576247,0.996120271580989,3.62648544259033
"Track_32.58",7594,32,0.877249777317047,161.487852283771,409.166504697117,0,57,57,12.797282385005,1,NA,45864.9844660194,45988,29616,54016,23620467,3576.37625325085,14941.0951456311,15746,7662,20059,7694664,2936.04873988699,1115.53980582524,927,793,5006,574503,583.510111699202,5669.26990291262,5671,5233,6038,2919674,123.583424488709,0,0,0,0,0,0,0,0,0,0,0,0,0.0500942821167501,1.22356742830746,0.439792385679338,3.10883018263689,-0.414958749846903,-2.7119714876566,0.0133889765135084,1.21218277291546,NA,NA,NA,NA,-0.0252451328063048,0.00386347211849283,14.5999797950782,11.3167234498812,0.873270868941646,1.29012428904336,514.5,82.1558229525345,0.95789640307867,0.999029126213592,3.62197677156246
"Track_32.59",7679,32,0.888833463191986,161.86892442772,411.518030730637,0,58,58,13.006986757381,1,NA,45552.0620300752,45903,21648,54288,24233697,4039.98484664445,14626.780075188,15387,8049,19572,7781447,2873.06969154659,1134.11466165414,928,795,5035,603349,604.113413987616,5745.23308270677,5751,5330,6140,3056464,123.102602145064,0,0,0,0,0,0,0,0,0,0,0,0,0.0470172801756535,1.01265603214883,0.438637698059649,3.10446725787864,-0.378850226626818,-2.29002224904685,0.0140327140857972,1.29169543751085,NA,NA,NA,NA,-0.0117970487325702,8.49213904643043e-05,14.6654951659406,11.6277912774299,0.941524428631414,1.26124513383785,531.5,83.9683821525758,0.947286965972139,0.99160447761194,3.64220302838069
"Track_32.1",2220,32,0.865328669548035,151.608198924731,405.089717741935,0,0,0,12.5650986286284,1,NA,39513.7927565392,39946,24868,51385,19638355,3207.95434819586,16346.0020120724,16973,8912,22890,8123963,3036.28408791008,1164.96981891348,1160,984,1436,578990,51.1838193324714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217595041174118,0.524627246483652,0.443019099359588,3.30559399304707,-0.193664838355428,-10.9331966435858,NA,NA,NA,NA,NA,NA,-0.0137431428918862,0.01025334427725,14.5907097480572,10.9224497302749,0.92198385219153,1.33584590530223,496,81.645331729527,0.935037060535928,0.99001996007984,3.66598361608948
"Track_32.2",2314,32,0.854705333709717,152.602350636631,408.497877897486,0,1,1,12.7474388367556,1,NA,39374.0760233918,39813,22561,52132,20198901,3344.40747041887,16206.1423001949,16814,8873,23730,8313751,3223.87818443416,1181.01754385965,1165,1042,1648,605862,84.3025017480907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205553742206861,0.474252905217058,0.445722328644758,3.09963475903466,-0.202183486794637,-7.10049363953634,NA,NA,NA,NA,NA,NA,-0.0462140696304542,-0.0436453066193554,15.0026515475126,10.9179578039554,0.928374994501186,1.37412617056253,510.5,82.5236036399922,0.941996396559657,0.998044965786901,3.65241662790023
"Track_32.3",2409,32,0.859983503818512,152.52223304122,408.465108730932,0,2,2,12.7848397156701,1,NA,39407.7062256809,39786,26285,50597,20255561,3276.35565104353,16169.6206225681,16802,8876,22668,8311185,3268.44198656407,1177.48443579767,1158,1033,1679,605227,89.5490366877743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017287588401706,0.408799901082424,0.445552451453008,3.04967829103605,-0.18338122337344,-5.90554192125809,NA,NA,NA,NA,NA,NA,-0.0172044952564017,0.0115858871196044,14.7665158926848,11.1578748718357,0.897042509973629,1.3234165163438,513.5,83.592477149232,0.92345539242928,0.985604606525912,3.68890075428517
"Track_32.4",2506,32,0.857112109661102,153.345892735913,410.179226069246,0,3,3,12.5016060614723,1,NA,39435.4683026585,39985,21954,51774,19283944,3402.43547648396,16495.5930470348,17101,7670,23020,8066345,3219.50147920819,1156.52147239264,1149,1035,1508,565539,57.480966638501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204332589771021,0.464173277466368,0.44788863870906,3.16988996037332,-0.145000109784859,-6.82435963136851,NA,NA,NA,NA,NA,NA,-0.0321746045500049,0.0149760230670574,14.5683937569009,10.8108601738839,0.870917957915975,1.34757026939394,491,82.0529725822806,0.91643721720916,0.985943775100402,3.7029988149059
"Track_32.5",2603,32,0.859995245933533,153.489191073919,408.808926080893,0,4,4,12.334995970646,1,NA,39810.4936708861,40058,23518,49720,18870174,2916.19467157787,16620.9029535865,17056,10248,22613,7878308,2863.2351251133,1161.42827004219,1150,1036,1509,550517,68.4044998887847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238142386897295,0.635077291182874,0.443726210858646,3.56827106471803,-0.150898442992101,-6.03479939115905,NA,NA,NA,NA,NA,NA,-0.0387403810050544,0.00657099875889483,14.394587014731,10.6497101653344,0.834100506750114,1.35164119879867,478,80.3100230057954,0.931318564337217,0.990673575129533,3.67329495219751
"Track_32.6",2693,32,0.87793242931366,153.731436048413,408.278704612365,0,5,5,12.7349474679184,1,NA,39243.4931237721,39875,18200,48524,19974938,3513.00958677086,16230.652259332,16920,6633,22419,8261402,3273.85430746027,1179.60903732809,1159,1019,1585,600421,86.3855484964474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167271808151211,0.367567103408049,0.447210963349057,3.06398911444773,-0.156117865685789,-5.0524009070712,NA,NA,NA,NA,NA,NA,-0.0488061817204596,0.0101330004068102,14.9538912836523,10.937071801089,0.801364093659759,1.36726644531705,509.5,83.4513649289273,0.919363300856172,0.987403100775194,3.69710129895332
"Track_32.7",2783,32,0.87551486492157,152.902889784946,407.096774193548,0,6,6,12.5650986286284,1,NA,39370.0784708249,39817,20401,50055,19566929,3264.1120260228,16359.1670020121,16944,8444,23244,8130506,3190.73942763084,1173.09054325956,1157,1036,1661,583026,81.4183358612912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180636943945802,0.42801880240294,0.443754332684141,3.15173103726305,-0.16043280747916,-5.50651760452336,NA,NA,NA,NA,NA,NA,-0.0456675231965865,0.00508303848265645,14.9592972750201,10.6536041004325,0.831970176489503,1.40415366799793,496,82.6490776384192,0.912463535868651,0.98804780876494,3.71105313787066
