Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Mean intensity ch4,Median intensity ch4,Min intensity ch4,Max intensity ch4,Sum intensity ch4,Std intensity ch4,Mean intensity ch5,Median intensity ch5,Min intensity ch5,Max intensity ch5,Sum intensity ch5,Std intensity ch5,Mean intensity ch6,Median intensity ch6,Min intensity ch6,Max intensity ch6,Sum intensity ch6,Std intensity ch6,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Contrast ch4,Signal/Noise ratio ch4,Contrast ch5,Signal/Noise ratio ch5,Contrast ch6,Signal/Noise ratio ch6,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Track_5.35,19411,5,0.8834724426269531,151.67543859649123,256.33940620782727,0.0,34.0,34,8.866935315394846,1,,40328.11836734694,41340.0,20899.0,65535.0,9880389.0,10395.28000663088,7190.865306122449,7411.0,5300.0,8741.0,1761762.0,822.4009845107121,20380.01632653061,21595.0,5231.0,32000.0,4993104.0,7215.168989629604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008453758342266561,-0.0661513359144701,0.07855248599265165,1.2736384977198365,0.7965049302577047,2.504655910033577,NaN,NaN,NaN,NaN,NaN,NaN,0.007826005369615316,0.03888513824668172,9.329986123114466,8.50123093988637,-1.2393547880902376,1.0974864921431218,247.0,57.62303859097564,0.9347909636809921,0.9840637450199203,3.666466145180303
Track_5.12,9688,5,0.8565283417701721,151.7940379403794,256.63685636856366,0.0,11.0,11,8.848967849484623,1,,40094.78775510204,41464.0,22115.0,62408.0,9823223.0,9432.569128101142,7293.171428571429,7505.0,5291.0,9102.0,1786827.0,881.9873256589068,20379.338775510205,20961.0,5208.0,31935.0,4992938.0,6727.04265732345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007302504912576232,-0.06253783605388485,0.0844255493936036,1.2875325809052378,0.782127045538356,2.6590992382646372,NaN,NaN,NaN,NaN,NaN,NaN,0.02279175879262438,-0.005339174091500932,9.67357769921735,8.169044466756123,-1.3923858325298044,1.1841749348511832,246.00000000000006,58.03067944372924,0.9179724769489696,0.9781312127236581,3.6999009856565115
Track_5.17,18904,5,0.8892544507980347,151.58487394957984,256.12549019607843,0.0,16.0,16,9.731248179944735,1,,38528.181818181816,40108.0,21885.0,65535.0,1.144287E7,9956.342318956087,7176.350168350168,7369.0,5247.0,9144.0,2131376.0,963.9144741388442,18459.612794612796,17809.0,3835.0,35644.0,5482505.0,9019.888906562412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03305779324633628,-0.2645952429594272,0.09259040455944369,1.2618383296520743,0.8283677296341422,1.8544324517350927,NaN,NaN,NaN,NaN,NaN,NaN,0.002125570403533072,-0.002409579523407305,10.044920419695503,9.514482076919688,1.2276893219915725,1.0557506271479093,297.49999999999994,62.796805768855094,0.9480292286438468,0.9900166389351079,3.640776911627477
Track_5.87,20957,5,0.8997464179992676,155.00455062571103,256.0371634433068,0.0,86.0,86,11.827814463280019,1,,41328.375,40158.0,23001.0,65535.0,1.8184485E7,9735.839628590502,5993.315909090909,6126.0,4681.0,6932.0,2637059.0,507.92094673188336,3684.240909090909,3431.0,1797.0,6447.0,1621066.0,1220.876493899691,10248.795454545454,9561.0,7783.0,16399.0,4509470.0,1792.4191041946071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012690487343733974,-0.1091264161305048,0.06564412188327465,1.4537331423243682,0.5315201917380338,2.094610732916533,0.07248469655190347,0.7728914061320223,NaN,NaN,NaN,NaN,0.0025784616222308473,-0.002066072858146406,12.354462707693408,11.416912507075903,1.3930319024278837,1.0821194171398296,439.5,75.84543294639616,0.9600854187919675,0.9909808342728298,3.6178453222168585
Track_5.102,21470,5,0.9137846231460571,153.50932994062765,255.8871925360475,0.0,101.0,101,11.18462271470208,1,,41297.82820512821,39206.0,25090.0,65535.0,1.6106153E7,9894.515841438502,5813.241025641026,5913.0,4711.0,6550.0,2267164.0,410.048023219219,3315.9128205128204,3181.0,1753.0,5670.0,1293206.0,925.793617775792,15765.105128205128,14565.0,9519.0,24553.0,6148391.0,3703.470123131808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01233203622977442,-0.10422849951400535,0.05436256150022602,1.4619197671581572,0.44597959839638196,2.2093867424561915,0.14509253303301536,1.0787542044014062,NaN,NaN,NaN,NaN,0.02485657349548348,-0.03699280163921242,12.440200891122904,10.201312888583,1.3081885507779696,1.2194705747184365,393.0,73.86285247736765,0.9052119184767174,0.9837296620775968,3.7258880376963552
Track_5.95,21215,5,0.8937013149261475,155.24290998766955,256.24208795725445,0.0,94.0,94,11.361102888695582,1,,41292.28535980149,39699.0,23807.0,65535.0,1.6640791E7,10017.831528221062,5895.575682382134,6026.0,4724.0,6622.0,2375917.0,455.49145303209804,3499.7419354838707,3290.0,1957.0,5991.0,1410396.0,1023.8915122020634,12757.637717121588,11760.0,8856.0,20065.0,5141328.0,2760.2442070141146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010743545712086378,-0.089529041593869,0.062073594605715654,1.5129628574487968,0.4846210878382776,2.2315095889370644,0.10616474357760966,0.8871830925165761,NaN,NaN,NaN,NaN,0.018035712161484255,-0.013915739613216576,11.97734929946021,10.848048737442264,1.3287803647416667,1.1041017227476257,405.49999999999994,74.29293396444568,0.9232210604556749,0.9794685990338163,3.689368882984744
Track_5.52,19936,5,0.8625044822692871,157.57150537634408,258.3365591397849,0.0,51.0,51,9.93358267278101,1,,42506.55483870968,39809.0,21964.0,65535.0,1.3177032E7,13367.205649242896,7336.393548387096,7681.0,5188.0,8855.0,2274282.0,964.5884109542468,11662.874193548387,10483.0,5232.0,21875.0,3615491.0,4378.0978580511055,5450.1,5420.0,4992.0,5976.0,1689531.0,213.6165840561514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02472134553538465,-0.16120876787813973,0.10859369611417206,1.4900566723869113,0.6863500765128935,2.1684433050734455,0.011852844539952936,0.5977295573783609,NaN,NaN,NaN,NaN,0.01274567261746286,-0.009001218864245496,10.544543245651028,9.466092238789809,1.389522393812553,1.1139277940312033,310.00000000000006,64.26236901423518,0.943317941359774,0.9856915739268682,3.6498572978386754
Track_5.79,20708,5,0.8905092477798462,155.3943661971831,255.89577464788732,0.0,78.0,78,10.630146264057032,1,,41162.41176470588,38304.0,23079.0,65535.0,1.4694981E7,11269.839053324535,6212.655462184874,6348.0,4963.0,7041.0,2217918.0,466.35075837469566,4332.5854341736695,4018.0,2241.0,7507.0,1546733.0,1390.6206001261107,8271.70588235294,8136.0,7284.0,10386.0,2952999.0,635.6314345241182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01320801991570579,-0.09777440876518362,0.06691102012598281,1.6709522057986217,0.5566486391625671,2.2282249240670127,0.029000736444252977,0.7335218477258653,NaN,NaN,NaN,NaN,-0.010993319202333655,-0.008414880840602768,11.020893946195145,10.322957008610866,1.437538554817089,1.0676101757473266,355.0,69.24650108953026,0.9303418315416024,0.9779614325068872,3.675222677221266
Track_5.70,20455,5,0.8841444253921509,155.79410430839002,257.2580498866213,0.0,69.0,69,10.815677656649308,1,,41182.47425474255,38399.0,21756.0,65535.0,1.5196333E7,11852.289840218065,6389.869918699187,6563.0,4955.0,7414.0,2357862.0,565.5797087466251,4567.279132791328,4196.0,2120.0,8588.0,1685326.0,1635.4978502183396,6847.680216802168,6817.0,6289.0,7468.0,2526794.0,254.77062502153944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02032101886206497,-0.14414575474981864,0.07138789296432735,1.5055875758552755,0.5801028192042612,2.0504878528255195,0.009375795967398482,0.4993204753512195,NaN,NaN,NaN,NaN,-0.004436944888276981,0.0035586222968453872,11.442497109488825,10.304728048844057,1.058846794752509,1.1104123325964335,367.49999999999994,69.59349704419144,0.9535201764256848,0.990566037735849,3.630278874930738
Track_5.27,19176,5,0.8972009420394897,151.26046074283028,255.95627644569817,0.0,26.0,26,10.622657607781294,1,,39027.19436619718,39963.0,20518.0,65535.0,1.3854654E7,9500.470177123281,6978.146478873239,7118.0,5004.0,9458.0,2477242.0,1024.138213415672,15890.983098591549,14148.0,2285.0,33970.0,5641299.0,9377.27588403814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029211500103517484,-0.24721878345163523,0.08798062312774972,1.101989303183177,0.8282355091207716,1.5354149835142532,NaN,NaN,NaN,NaN,NaN,NaN,0.01654516473574701,0.006624021031118138,11.03602019617338,10.31053856759597,0.9567984943739143,1.0703631167102619,354.5,69.29021145897975,0.9278597380882881,0.9792817679558009,3.6801351404135954
Track_5.61,20202,5,0.8590277433395386,155.71024571163653,257.88178025034773,0.0,60.0,60,10.697308263440517,1,,41328.796657381616,39778.0,22443.0,65535.0,1.4837038E7,12382.10102885225,6704.139275766017,6976.0,4977.0,7893.0,2406786.0,747.5280959877656,5181.74651810585,4717.0,2219.0,9793.0,1860247.0,1914.2215390001024,6008.8050139275765,5941.0,5554.0,6666.0,2157161.0,244.22988272782757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022335475768856094,-0.15250839975784597,0.08296830990684285,1.3741748580235467,0.599741089028142,2.0296823048800916,0.009432188449951313,0.45978481706823576,NaN,NaN,NaN,NaN,-0.007811384864207742,0.00671336807515701,11.177601822705231,10.326246194150468,0.9917151950919485,1.0824458000078512,359.5000000000001,69.32194730838961,0.9400852767020007,0.9849315068493152,3.6561272816925316
Track_5.44,19694,5,0.8565170764923096,151.99738048461035,255.7721021611002,0.0,43.0,43,9.000548096298067,1,,40505.01953125,41687.0,22616.0,62569.0,1.0369285E7,8964.283711835747,7175.91796875,7394.0,5275.0,8466.0,1837035.0,817.5711356646199,19381.2890625,20397.0,5866.0,30989.0,4961610.0,6606.514786033252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2383588657515322E-4,0.00202234741785267,0.07946008800182054,1.2921840116464975,0.7923169177894192,2.5937276292357367,NaN,NaN,NaN,NaN,NaN,NaN,0.004298994831831924,-0.048739628814919875,10.25209165548358,7.973160393131373,-1.2720545686426146,1.2858253377563351,254.50000000000006,60.32466981385551,0.8788358077416484,0.9695238095238099,3.7813864195596585
Track_5.36,19439,5,0.8749998211860657,152.52583156404813,255.18754423213022,0.0,35.0,35,8.65805856969579,1,,40567.97435897436,42270.0,21600.0,65535.0,9492906.0,10261.628694245719,7292.888888888889,7444.0,5498.0,8971.0,1706536.0,776.3687155283372,20999.0,21818.0,7879.0,31586.0,4913766.0,6590.83124548321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040692719276693955,-0.03230610519118477,0.08459921720387464,1.4654082211414559,0.7918189271479774,2.8159191168258393,NaN,NaN,NaN,NaN,NaN,NaN,0.016703835641004805,-1.5273645133551028E-4,9.234823972052288,8.202207702486435,-0.9598587496132323,1.1258949184196865,235.5,56.32466981385552,0.9328320660444042,0.98125,3.670313818038837
Track_5.3,6128,5,0.8736100196838379,151.91418439716313,256.63475177304963,0.0,2.0,2,8.6488625410045,1,,39681.527659574465,41502.0,20882.0,65535.0,9325159.0,10433.583717518683,7314.685106382979,7505.0,5514.0,8696.0,1718951.0,797.3900553795851,21519.91489361702,22441.0,5982.0,33781.0,5057180.0,7296.55247310166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01256469267566333,-0.0967894656571526,0.08510328712342116,1.438898206500948,0.7856604598803588,2.5953076677471656,NaN,NaN,NaN,NaN,NaN,NaN,-0.013948165019279575,0.012846950814024075,8.96739776047251,8.416605595404679,-0.6632506848995341,1.0654411281156568,235.0,56.50281539872881,0.9249910910250339,0.9771309771309772,3.685837269114713
Track_5.18,18929,5,0.8909406661987305,151.891846921797,255.24403771491956,0.0,17.0,17,9.7801902230084,1,,38512.55518394649,38903.0,21675.0,65535.0,1.1515254E7,10180.075512938289,7136.7959866220735,7266.0,5201.0,9107.0,2133902.0,1009.8746226838682,18243.66889632107,17876.0,4607.0,34342.0,5454857.0,8693.60657895985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033464899935749,-0.261971007502065,0.09218800994912849,1.1930066222690845,0.8276840388449288,1.9006653427017823,NaN,NaN,NaN,NaN,NaN,NaN,0.003669401968663595,0.019388846249372572,10.08151921336801,9.576050660412395,1.55639943260157,1.0527846573583024,300.50000000000006,64.03287374635488,0.9209760875832216,0.9788273615635181,3.6938627520078433
Track_5.109,21746,5,0.9338873624801636,153.96838210561722,256.5280861083081,0.0,108.0,108,12.558763816716528,1,,41426.29435483871,40655.0,24908.0,65535.0,2.0547442E7,8712.581785193484,5710.639112903225,5803.0,4481.0,6508.0,2832477.0,417.2941418358575,2888.5282258064517,2700.0,1486.0,5254.0,1432710.0,927.3336204657626,18113.782258064515,17388.0,9779.0,28279.0,8984436.0,4600.454548574823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004779994571257798,-0.04567383940264526,0.06878278942061992,1.761419320821933,0.43670625329256096,1.8936165238573646,0.1907650213761836,1.2615691808016383,NaN,NaN,NaN,NaN,0.0015206957461240665,-0.047710550539135796,13.365887520358783,11.902383899506752,1.5613445763322027,1.122958865485147,495.5,82.0703921132521,0.9244437829135024,0.9860696517412937,3.686928190045594
Track_5.88,20987,5,0.9151970744132996,155.2705018359853,256.9212566299469,0.0,87.0,87,11.40305171899516,1,,41364.519512195126,39669.0,24270.0,65535.0,1.6959453E7,10011.390447401765,6029.590243902439,6186.0,4801.0,6927.0,2472132.0,478.8745647915969,3781.109756097561,3594.0,2008.0,6594.0,1550255.0,1181.0663824104417,10313.317073170732,9735.0,8017.0,15449.0,4228460.0,1652.6160344767038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009813979567628342,-0.08190151571574851,0.06797723395453593,1.6028671148573017,0.5327223618113319,2.2254221448934164,0.05920806384655651,0.6976795357678509,NaN,NaN,NaN,NaN,0.01688362876824637,0.00810601807546364,12.16373868320073,10.78149023334578,1.3484667403491253,1.1282056951255062,408.49999999999994,73.58200752648035,0.948109853218989,0.9891041162227601,3.6406221076607603
Track_5.53,19964,5,0.862898588180542,156.8469022017409,259.3543266769073,0.0,52.0,52,10.178893257757636,1,,42265.78461538462,38551.0,22536.0,65535.0,1.373638E7,13073.751814807976,7293.8523076923075,7569.0,5159.0,8715.0,2370502.0,898.6286240965086,10160.815384615385,8996.0,4841.0,19497.0,3302265.0,3926.618883301619,5497.375384615385,5467.0,5043.0,6011.0,1786647.0,212.18078568043308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021244277360654526,-0.1403415741280019,0.10991858558406681,1.6076322887201195,0.6875821034705202,2.108625521270714,0.0136349795185903,0.697031229765038,NaN,NaN,NaN,NaN,-0.003985737826413727,0.0015786338627720076,10.622795530376568,9.861169087157576,1.321889507395471,1.0772349035380475,325.5,66.0328737463549,0.9380812609752112,0.9789473684210523,3.660030476400207
Track_5.11,7677,5,0.8560779094696045,152.0551075268817,255.60954301075267,0.0,10.0,10,8.884866446580956,1,,39881.39024390244,41358.0,22556.0,65535.0,9810822.0,9579.03389584254,7199.40650406504,7405.0,5211.0,9058.0,1771054.0,929.3307167089383,20500.585365853658,21283.0,7402.0,32003.0,5043144.0,6678.998942377127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014045755204368054,-0.11862245523858,0.07739154771323677,1.1129518293897938,0.7900997764088005,2.709502670910696,NaN,NaN,NaN,NaN,NaN,NaN,0.001837533311251885,-0.005316421072891391,9.729651106540048,8.19753790735252,-1.359937320248537,1.1868991905256514,248.0,57.67438827398263,0.9369049880856725,0.9860834990059643,3.662327317727046
